"dataset","country","model","obs","samples","test_size","strategy","true","pred","pred_median","std","skewness","kurtosis","mse","mse_median","smape","smape_median","r2","r2_median"
"pest","india","chronos-zeroshot","amazon/chronos-t5-small",500,5,"ro",40093.69,39985.31640625,39985.31640625,0,NA,NA,11340.703266016,11340.703266016,0.225922375121166,0.225922375121166,-Inf,-Inf
"pest","india","chronos-zeroshot","amazon/chronos-t5-small",500,1,"sa",40093.69,39945.16015625,39945.16015625,0,NA,NA,22061.1144844001,22061.1144844001,0.371144371664625,0.371144371664625,-Inf,-Inf
"pest","india","chronos-zeroshot","amazon/chronos-t5-small",500,2,"sa",40093.69,39945.16015625,39945.16015625,0,NA,NA,22061.1144844001,22061.1144844001,0.371144371664625,0.371144371664625,-Inf,-Inf
"pest","india","chronos-zeroshot","amazon/chronos-t5-small",500,3,"sa",40093.69,39945.16015625,39945.16015625,0,NA,NA,22061.1144844001,22061.1144844001,0.371144371664625,0.371144371664625,-Inf,-Inf
"pest","india","chronos-zeroshot","amazon/chronos-t5-small",500,4,"sa",40093.69,39945.16015625,39945.16015625,0,NA,NA,22061.1144844001,22061.1144844001,0.371144371664625,0.371144371664625,-Inf,-Inf
"pest","india","chronos-zeroshot","amazon/chronos-t5-small",500,5,"sa",40093.69,39945.16015625,39945.16015625,0,NA,NA,22061.1144844001,22061.1144844001,0.371144371664625,0.371144371664625,-Inf,-Inf
"pest","india","chronos-zeroshot","amazon/chronos-t5-small",1000,1,"ro",40093.69,39945.16015625,39945.16015625,0,NA,NA,22061.1144844001,22061.1144844001,0.371144371664625,0.371144371664625,-Inf,-Inf
"pest","india","chronos-zeroshot","amazon/chronos-t5-small",1000,2,"ro",40093.69,40108.15234375,40108.15234375,0,NA,NA,11135.1369355716,11135.1369355716,0.203604619162224,0.203604619162224,-Inf,-Inf
"pest","india","chronos-zeroshot","amazon/chronos-t5-small",1000,3,"ro",40093.69,39946.98828125,39946.98828125,0,NA,NA,14597.2227184493,14597.2227184493,0.257925714431753,0.257925714431753,-Inf,-Inf
"pest","india","chronos-zeroshot","amazon/chronos-t5-small",1000,4,"ro",40093.69,40127.8515625,40127.8515625,0,NA,NA,11239.6701269473,11239.6701269473,0.214736299062792,0.214736299062792,-Inf,-Inf
"pest","india","chronos-zeroshot","amazon/chronos-t5-small",1000,5,"ro",40093.69,39985.31640625,39985.31640625,0,NA,NA,11340.703266016,11340.703266016,0.225922375121166,0.225922375121166,-Inf,-Inf
"pest","india","chronos-zeroshot","amazon/chronos-t5-small",1000,1,"sa",40093.69,39945.16015625,39945.16015625,0,NA,NA,22061.1144844001,22061.1144844001,0.371144371664625,0.371144371664625,-Inf,-Inf
"pest","india","chronos-zeroshot","amazon/chronos-t5-small",1000,2,"sa",40093.69,39945.16015625,39945.16015625,0,NA,NA,22061.1144844001,22061.1144844001,0.371144371664625,0.371144371664625,-Inf,-Inf
"pest","india","chronos-zeroshot","amazon/chronos-t5-small",1000,3,"sa",40093.69,39945.16015625,39945.16015625,0,NA,NA,22061.1144844001,22061.1144844001,0.371144371664625,0.371144371664625,-Inf,-Inf
"pest","india","chronos-zeroshot","amazon/chronos-t5-small",1000,4,"sa",40093.69,39945.16015625,39945.16015625,0,NA,NA,22061.1144844001,22061.1144844001,0.371144371664625,0.371144371664625,-Inf,-Inf
"pest","india","chronos-zeroshot","amazon/chronos-t5-small",1000,5,"sa",40093.69,39945.16015625,39945.16015625,0,NA,NA,22061.1144844001,22061.1144844001,0.371144371664625,0.371144371664625,-Inf,-Inf
"pest","india","chronos-zeroshot","amazon/chronos-t5-base",30,1,"ro",40093.69,39945.16015625,39945.16015625,0,NA,NA,22061.1144844001,22061.1144844001,0.371144371664625,0.371144371664625,-Inf,-Inf
"pest","india","chronos-zeroshot","amazon/chronos-t5-base",30,2,"ro",40093.69,40108.15234375,40108.15234375,0,NA,NA,11135.1369355716,11135.1369355716,0.203604619162224,0.203604619162224,-Inf,-Inf
"pest","india","chronos-zeroshot","amazon/chronos-t5-base",30,3,"ro",40093.69,39946.98828125,39946.98828125,0,NA,NA,14597.2227184493,14597.2227184493,0.257925714431753,0.257925714431753,-Inf,-Inf
"pest","india","chronos-zeroshot","amazon/chronos-t5-base",30,4,"ro",40093.69,40127.8515625,40127.8515625,0,NA,NA,11239.6701269473,11239.6701269473,0.214736299062792,0.214736299062792,-Inf,-Inf
"pest","india","chronos-zeroshot","amazon/chronos-t5-base",30,5,"ro",40093.69,39985.31640625,39985.31640625,0,NA,NA,11340.703266016,11340.703266016,0.225922375121166,0.225922375121166,-Inf,-Inf
"pest","india","chronos-zeroshot","amazon/chronos-t5-base",30,1,"sa",40093.69,39945.16015625,39945.16015625,0,NA,NA,22061.1144844001,22061.1144844001,0.371144371664625,0.371144371664625,-Inf,-Inf
"pest","india","chronos-zeroshot","amazon/chronos-t5-base",30,2,"sa",40093.69,39945.16015625,39945.16015625,0,NA,NA,22061.1144844001,22061.1144844001,0.371144371664625,0.371144371664625,-Inf,-Inf
"pest","india","chronos-zeroshot","amazon/chronos-t5-base",30,3,"sa",40093.69,39945.16015625,39945.16015625,0,NA,NA,22061.1144844001,22061.1144844001,0.371144371664625,0.371144371664625,-Inf,-Inf
"pest","india","chronos-zeroshot","amazon/chronos-t5-base",30,4,"sa",40093.69,39945.16015625,39945.16015625,0,NA,NA,22061.1144844001,22061.1144844001,0.371144371664625,0.371144371664625,-Inf,-Inf
"pest","india","chronos-zeroshot","amazon/chronos-t5-base",30,5,"sa",40093.69,39945.16015625,39945.16015625,0,NA,NA,22061.1144844001,22061.1144844001,0.371144371664625,0.371144371664625,-Inf,-Inf
"pest","india","chronos-zeroshot","amazon/chronos-t5-base",60,1,"ro",40093.69,39945.16015625,39945.16015625,0,NA,NA,22061.1144844001,22061.1144844001,0.371144371664625,0.371144371664625,-Inf,-Inf
"pest","india","chronos-zeroshot","amazon/chronos-t5-base",60,2,"ro",40093.69,40108.15234375,40108.15234375,0,NA,NA,11135.1369355716,11135.1369355716,0.203604619162224,0.203604619162224,-Inf,-Inf
"pest","india","chronos-zeroshot","amazon/chronos-t5-base",60,3,"ro",40093.69,39946.98828125,39946.98828125,0,NA,NA,14597.2227184493,14597.2227184493,0.257925714431753,0.257925714431753,-Inf,-Inf
"pest","india","chronos-zeroshot","amazon/chronos-t5-base",60,4,"ro",40093.69,40127.8515625,40127.8515625,0,NA,NA,11239.6701269473,11239.6701269473,0.214736299062792,0.214736299062792,-Inf,-Inf
"pest","india","chronos-zeroshot","amazon/chronos-t5-base",60,5,"ro",40093.69,39985.31640625,39985.31640625,0,NA,NA,11340.703266016,11340.703266016,0.225922375121166,0.225922375121166,-Inf,-Inf
"pest","india","chronos-zeroshot","amazon/chronos-t5-base",60,1,"sa",40093.69,39945.16015625,39945.16015625,0,NA,NA,22061.1144844001,22061.1144844001,0.371144371664625,0.371144371664625,-Inf,-Inf
"pest","india","chronos-zeroshot","amazon/chronos-t5-base",60,2,"sa",40093.69,39945.16015625,39945.16015625,0,NA,NA,22061.1144844001,22061.1144844001,0.371144371664625,0.371144371664625,-Inf,-Inf
"pest","india","chronos-zeroshot","amazon/chronos-t5-base",60,3,"sa",40093.69,39945.16015625,39945.16015625,0,NA,NA,22061.1144844001,22061.1144844001,0.371144371664625,0.371144371664625,-Inf,-Inf
"pest","india","chronos-zeroshot","amazon/chronos-t5-base",60,4,"sa",40093.69,39945.16015625,39945.16015625,0,NA,NA,22061.1144844001,22061.1144844001,0.371144371664625,0.371144371664625,-Inf,-Inf
"pest","india","chronos-zeroshot","amazon/chronos-t5-base",60,5,"sa",40093.69,39945.16015625,39945.16015625,0,NA,NA,22061.1144844001,22061.1144844001,0.371144371664625,0.371144371664625,-Inf,-Inf
"pest","india","chronos-zeroshot","amazon/chronos-t5-base",90,1,"ro",40093.69,39945.16015625,39945.16015625,0,NA,NA,22061.1144844001,22061.1144844001,0.371144371664625,0.371144371664625,-Inf,-Inf
"pest","india","chronos-zeroshot","amazon/chronos-t5-base",90,2,"ro",40093.69,40108.15234375,40108.15234375,0,NA,NA,11135.1369355716,11135.1369355716,0.203604619162224,0.203604619162224,-Inf,-Inf
"pest","india","chronos-zeroshot","amazon/chronos-t5-base",90,3,"ro",40093.69,39946.98828125,39946.98828125,0,NA,NA,14597.2227184493,14597.2227184493,0.257925714431753,0.257925714431753,-Inf,-Inf
"pest","india","chronos-zeroshot","amazon/chronos-t5-base",90,4,"ro",40093.69,40127.8515625,40127.8515625,0,NA,NA,11239.6701269473,11239.6701269473,0.214736299062792,0.214736299062792,-Inf,-Inf
"pest","india","chronos-zeroshot","amazon/chronos-t5-base",90,5,"ro",40093.69,39985.31640625,39985.31640625,0,NA,NA,11340.703266016,11340.703266016,0.225922375121166,0.225922375121166,-Inf,-Inf
"pest","india","chronos-zeroshot","amazon/chronos-t5-base",90,1,"sa",40093.69,39945.16015625,39945.16015625,0,NA,NA,22061.1144844001,22061.1144844001,0.371144371664625,0.371144371664625,-Inf,-Inf
"pest","india","chronos-zeroshot","amazon/chronos-t5-base",90,2,"sa",40093.69,39945.16015625,39945.16015625,0,NA,NA,22061.1144844001,22061.1144844001,0.371144371664625,0.371144371664625,-Inf,-Inf
"pest","india","chronos-zeroshot","amazon/chronos-t5-base",90,3,"sa",40093.69,39945.16015625,39945.16015625,0,NA,NA,22061.1144844001,22061.1144844001,0.371144371664625,0.371144371664625,-Inf,-Inf
